date,region,sales,orders,total_sessions,total_carts,total_checkouts,total_pageviews
01/09/2024,Michoacán,13224.25,10,1500,46,17,4026
03/07/2024,Guanajuato,13239.56,9,2812,103,34,8318
19/07/2024,Sinaloa,13239.88,18,2445,151,66,7663
25/09/2024,Guanajuato,13244.7,7,1891,88,37,5671
02/01/2024,Veracruz,13263,6,1602,76,58,4698
22/04/2024,Zacatecas,13264.38,2,334,9,4,814
14/08/2024,Yucatán,13266.12,12,1512,58,40,4812
03/09/2023,Querétaro,13267.54,10,830,41,22,2571
07/09/2024,Veracruz,13275.97,9,3699,97,24,9838
27/04/2024,Oaxaca,13284.89,4,196,11,5,511
12/06/2024,Nuevo León,13286.47,17,4908,184,77,13775
27/05/2024,Aguascalientes,13289.85,8,352,20,14,1020
01/03/2024,Guanajuato,13290.52,7,1519,64,23,4103
26/08/2024,Sinaloa,13294.18,9,1706,65,20,4482
29/07/2024,Guanajuato,13299.92,10,2396,107,42,7515
01/09/2024,Aguascalientes,13305.57,7,615,22,11,1734
20/07/2024,Quintana Roo,13309.53,10,2076,125,47,6541
24/11/2023,Guanajuato,13314.15,14,1971,92,65,6669
02/05/2024,Michoacán,13314.7,7,1550,49,28,3991
24/07/2024,Quintana Roo,13315.53,20,2500,214,76,10301
22/05/2024,Morelos,13321.86,6,1362,41,14,3772
26/03/2024,Guerrero,13339.97,4,558,29,10,2192
22/09/2024,Querétaro,13353.86,13,1878,97,33,5682
27/05/2024,Guanajuato,13360.04,10,1225,42,28,3386
19/05/2024,Michoacán,13379.44,6,2037,53,21,5194
14/12/2023,Nuevo León,13384.12,19,6307,223,158,16647
12/11/2023,Michoacán,13389.24,12,902,46,44,3166
26/12/2023,Nuevo León,13389.5,8,2190,99,72,6900
20/08/2024,Aguascalientes,13389.7,7,514,15,7,1604
27/11/2023,Quintana Roo,13390.12,17,2059,119,88,6843
11/11/2023,Quintana Roo,13401.32,8,897,55,51,3269
17/05/2024,Chiapas,13402.32,5,965,28,17,2693
05/07/2024,Hidalgo,13404.67,8,554,17,9,1677
26/09/2023,Jalisco,13412.28,16,3380,199,95,9815
22/05/2024,Baja California,13415.5,4,1840,61,25,4858
21/06/2024,Morelos,13419.76,7,738,38,14,2565
24/07/2024,Chihuahua,13426.56,21,2421,206,78,9422
12/09/2023,Jalisco,13429.96,9,3238,113,62,8731
21/06/2024,Nuevo León,13444.41,19,4174,162,69,12608
25/08/2024,Yucatán,13469.92,6,1504,40,25,4593
30/07/2024,Yucatán,13483.21,12,1645,63,46,5196
20/11/2023,Tamaulipas,13489.05,9,2173,77,59,6445
31/07/2024,Guanajuato,13490.68,16,2301,95,51,7520
30/06/2024,Durango,13499.98,2,332,8,0,933
21/05/2024,Zacatecas,13499.98,2,522,18,4,1231
04/07/2024,Jalisco,13500.62,9,5649,213,73,16204
29/08/2024,Guerrero,13512.37,3,547,14,9,1479
17/01/2024,Hidalgo,13519.35,3,407,11,8,1060
06/08/2024,Morelos,13519.77,6,1141,44,18,3549
05/12/2023,Quintana Roo,13525.23,5,1525,71,53,4494
13/03/2024,Guerrero,13530.17,9,506,29,14,1583
05/06/2024,Jalisco,13561.63,15,3569,147,71,10789
26/02/2024,Puebla,13569.52,8,1127,32,33,3394
22/06/2024,Veracruz,13569.65,10,1332,48,31,4439
16/07/2024,Querétaro,13570.54,11,2699,126,47,8680
31/03/2024,Puebla,13579.05,6,1416,44,25,4148
15/05/2024,Aguascalientes,13579.8,8,1811,57,17,4602
16/08/2023,Nuevo León,13582.31,19,4581,151,73,12574
08/10/2023,Nuevo León,13583.08,19,5527,194,77,16401
08/05/2024,Querétaro,13594.74,10,1481,63,23,4265
24/09/2024,Durango,13599.86,2,277,9,5,799
19/12/2023,Puebla,13609.02,7,2038,95,84,5194
29/09/2023,México,13613.94,14,2836,118,43,9839
10/11/2023,Sinaloa,13621.22,9,1509,73,40,5146
09/11/2023,México,13627.82,22,5786,204,127,17967
18/09/2024,Guerrero,13634.55,5,461,15,11,1376
28/09/2024,Morelos,13634.84,3,1120,42,17,3392
08/08/2024,Veracruz,13657.66,11,2518,103,43,7948
28/07/2024,Yucatán,13662.97,12,1458,82,47,5360
07/08/2023,Jalisco,13673.03,18,3841,147,74,10866
15/08/2023,Jalisco,13679.65,19,4456,166,68,11676
10/09/2023,Jalisco,13694.36,11,3786,158,68,10435
21/03/2024,Guanajuato,13699.82,5,1428,62,30,4257
03/08/2023,Nuevo León,13699.97,18,4101,143,61,10992
27/08/2024,Veracruz,13704.15,15,2824,96,38,8428
25/09/2024,Zacatecas,13704.67,5,354,16,8,1055
18/09/2024,Nuevo León,13710.79,17,4723,186,69,14287
27/02/2024,Puebla,13714.03,7,1241,37,38,3419
16/08/2023,Michoacán,13719.49,6,998,37,11,2672
17/03/2024,Coahuila,13724.83,4,1126,37,23,3280
10/12/2023,Veracruz,13729.24,8,2119,66,55,6534
13/02/2024,Nuevo León,13733.03,17,4044,174,163,12851
26/09/2023,Baja California,13739.34,4,753,29,11,1719
25/02/2024,Veracruz,13739.53,8,1382,46,50,4021
11/12/2023,Michoacán,13746.38,5,889,34,22,2869
23/02/2024,Yucatán,13749.43,5,960,43,32,2898
09/04/2024,Tamaulipas,13754.67,5,1281,44,16,3807
27/11/2023,Hidalgo,13759.52,8,982,45,42,3683
03/04/2024,Yucatán,13769.93,6,1589,59,25,4745
12/12/2023,Guanajuato,13783.93,12,1881,55,40,5176
21/11/2023,Yucatán,13786.37,7,1529,64,64,4804
17/12/2023,Quintana Roo,13788.59,8,1157,51,51,3323
25/11/2023,Guanajuato,13802.39,12,2173,97,62,7371
14/08/2024,Morelos,13824.75,4,946,35,12,2740
27/03/2024,Sinaloa,13838.29,5,1434,44,17,3901
21/03/2024,Oaxaca,13844.63,6,253,13,8,599
11/09/2023,Jalisco,13848.82,10,3981,166,65,10507
24/07/2024,Coahuila,13852.84,29,2674,399,268,11139
28/08/2023,Jalisco,13858.91,11,2614,125,65,7174
27/09/2024,Michoacán,13860.52,7,1139,53,22,3391
21/09/2024,Veracruz,13868.13,15,1773,72,36,5236
04/08/2024,Yucatán,13869.86,5,1532,41,19,4313
01/09/2024,Coahuila,13874.37,10,1873,201,171,5710
30/12/2023,Veracruz,13890.7,9,1490,80,55,4074
12/12/2023,Oaxaca,13897.03,11,284,7,7,703
01/11/2023,Nuevo León,13897.99,19,3089,125,89,10364
15/08/2024,Morelos,13902.9,3,1046,28,10,3030
05/02/2024,Aguascalientes,13904.81,4,267,11,10,766
06/09/2024,Puebla,13929.94,4,2959,67,21,6925
16/01/2024,Yucatán,13933.89,7,1035,41,36,3041
16/09/2023,Nuevo León,13934.09,12,2012,87,30,6110
10/06/2024,Nuevo León,13936.49,16,4798,182,104,14596
27/04/2024,Veracruz,13943.4,10,1677,65,31,5129
19/08/2024,Morelos,13944.63,10,961,37,24,2884
17/07/2024,Querétaro,13948.19,12,2380,125,63,8632
18/09/2023,México,13953.04,23,3501,188,70,12433
